ItemID,ProcessLine,Group,Code,ItemVI,ItemEN,AcceptVI,AcceptEN,Method,Severity,AQL,Sampling,InspType,DefectCode,Pareto,ShortForm,ISO,AppliesWhen,Note
PNC-B6,PRESS_CNC,B·Kích thước,B6,Độ phẳng / cong vênh (Flatness/Warp),Flatness/Warp,"Phẳng, không cong vênh quá dung sai","Flat, warp within tol",Thước thẳng / feeler trên mặt phẳng,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,,
PNC-C1,PRESS_CNC,C·Màu sắc,C1,Màu sơn/in so mẫu (Color vs master),Color vs master,Đạt giới hạn màu so mẫu chuẩn,Within color limits,Đèn chuẩn + máy đo (nếu có),● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,Có sơn/in,If painted/printed
PNC-C2,PRESS_CNC,C·Màu sắc,C2,Đồng đều bề mặt sơn (Uniformity),Paint uniformity,"Lớp sơn đều, không loang/khác sắc",Even paint,Soi mắt,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,Có sơn,If painted
PNC-C3,PRESS_CNC,C·Màu sắc,C3,Độ bóng / mờ lớp phủ (Gloss/Matte),Gloss/Matte,"Độ bóng/mờ đúng loại spec, đồng nhất",Gloss/matte per spec,Soi mắt nghiêng; vs mẫu,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,Có phủ,If coated
PNC-C4,PRESS_CNC,C·Màu sắc,C4,Đúng màu nền / mạ (Plating/base),Plating/base color,"Màu nền/mạ kim loại đúng spec, đều",Base/plating color per spec,Soi mắt + đối chiếu mẫu,○ Minor,4.0,FAI 100% + AQL 4.0,Visual,OTHER,,,,Chi tiết kim loại,Metal part
PNC-D1,PRESS_CNC,D·Chức năng,D1,Độ bám sơn/mực — Cross-cut,Cross-cut adhesion,ISO 2409 ≤ Class 1 / ASTM D3359 ≥ 4B,ISO2409 ≤1 / D3359 ≥4B,Dao rạch ô + băng keo,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,PAINTCRK,,Y,ISO 2409/ASTM D3359,Có sơn/in,If painted/printed
PNC-D2,PRESS_CNC,D·Chức năng,D2,Mài mòn cồn (Alcohol/IPA rub),IPA rub,"Chà cồn theo spec: lớp sơn/in không mờ, mất",IPA rub: no fade/loss,Máy/bút chà + bông tẩm cồn,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,,Có sơn/in,
PNC-D3,PRESS_CNC,D·Chức năng,D3,Lắp ghép / đóng mở (Fit/Assembly),Fit/Assembly,"Lắp khít, đóng mở/đúng chức năng spec",Fits/functions per spec,Lắp thử với mẫu đối ứng,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,,,Chức năng cơ khí
PNC-D4,PRESS_CNC,D·Chức năng,D4,Độ bám / lực bóc keo (Peel),Peel force,"Bám chắc, đủ lực bóc theo spec","Adhered, adequate peel",Dán thử + lực kế (nếu spec),● Major,1.5,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,,,Có keo,If adhesive
PNC-D5,PRESS_CNC,D·Chức năng,D5,Chức năng cơ khí khác (Bend/Snap…),Other mechanical,"Đạt theo yêu cầu spec (uốn, gập, snap…)",Pass spec requirement,Test theo spec sản phẩm,● Major,1.5,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,,,,
FIN-A1,FINISHING,A·Ngoại quan,A1,Bong/phồng/bóng khí lớp cán,Peel/Blister/Bubble,"Lớp cán bám chắc, không bong, phồng, bóng khí",Laminate bonded; no peel/blister/bubble,Soi mắt nghiêng + gập nhẹ + đèn,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,PEEL,,Y,,,Lỗi cán phổ biến nhất
FIN-A2,FINISHING,A·Ngoại quan,A2,Nhăn/gấp lớp cán,Wrinkle/Fold,"Lớp cán phẳng, không nhăn, gấp nếp",Laminate flat; no wrinkle/fold,Soi mắt nghiêng + đèn,● Major,1.5,FAI 100% + AQL 1.5,Visual,WRINKLE,,Y,,,
FIN-A3,FINISHING,A·Ngoại quan,A3,Bong mép/hở mép cán,Edge lift,"Mép cán dính kín, không bong, hở mép",Edges sealed; no edge lift,Soi mắt + sờ/gẩy nhẹ mép,● Major,1.5,FAI 100% + AQL 1.5,Visual,EDGELIFT,,Y,,,
FIN-A4,FINISHING,A·Ngoại quan,A4,Xước/bẩn bề mặt cán,Scratch/Dirt on laminate,"Bề mặt cán sạch, không xước, bẩn, đốm",Clean laminate; no scratch/dirt,Soi mắt nghiêng dưới đèn chuẩn,● Major,1.5,FAI 100% + AQL 1.5,Visual,SCRATCH,,Y,,,
FIN-D1,FINISHING,D·Chức năng,D1,Độ bám lớp cán — Tape test,Laminate adhesion (tape),Dán & bóc băng keo: lớp cán không tách/bong,Apply/peel tape: no delamination,"Băng keo chuẩn, bóc 1 lần dứt khoát",◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,ADHESION,,Y,,,Phá hủy; FAI + định kỳ/ca
